original_listing_id,original_update_time,original_listing_name,original_location_address,original_location_x,original_location_y,original_location_desc,original_location_site,original_location_site_otherdesc,original_location_indoor,original_specialproductionmethods,original_specialproductionmethods_1,original_specialproductionmethods_2,original_specialproductionmethods_3,original_specialproductionmethods_4,original_specialproductionmethods_5,original_specialproductionmethods_6,original_specialproductionmethods_7,original_specialproductionmethods_8,original_specialproductionmethods_9,original_specialproductionmethods_10,original_specialproductionmethods_11,original_specialproductionmethods_12,original_specialproductionmethods_13,original_specialproductionmethods_14,original_specialproductionmethods_888,original_specialproductionmethods_other_desc,original_acceptedpayment,original_acceptedpayment_1,original_acceptedpayment_2,original_acceptedpayment_3,original_acceptedpayment_4,original_acceptedpayment_5,original_acceptedpayment_6,original_acceptedpayment_7,original_acceptedpayment_888,original_FNAP,original_FNAP_1,original_FNAP_2,original_FNAP_3,original_FNAP_4,original_FNAP_5,original_FNAP_888,original_SNAP_option,original_SNAP_option_1,original_SNAP_option_2,distance,formatted,lat,lon,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
300002,8/3/2020 13:44,Colorado Farm and Art Market,"7350 Pine Creek Road, Colorado Springs, Colorado 80919",-104.81468,38.937716,"Behind the patio of the Margarita at Pine Creek, located off Woodmen road just West of I-25.",Private business parking lot;,A restaurant--The Margarita at Pine Creek,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,SNAP;Accept EBT at a central location;;,0,1,0,0,0,0,Accept EBT at a central location;,1,0,23.401456244616593,"The Margarita at Pine Creek, 7350 Pine Creek Road, Colorado Springs, CO 80919, United States of America",38.9377481,-104.8149474,The Margarita at Pine Creek,7350,Pine Creek Road,,,80919,Colorado Springs,El Paso County,Colorado,CO,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300003,8/3/2020 9:33,Market in The Park,"300 Conti, Mobile, Alabama 36602",-88.045015,30.69035,"Cathedral Square, located in downtown Mobile, bordered by Conti, Jackson, Dauphin, and Claiborne Streets.",Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,Senior Farmers Market Nutrition Program;,0,0,0,0,1,0,,0,0,14.38617349432342,"Cathedral Square, 300 Conti Street, Mobile, AL 36602, United States of America",30.69034,-88.045165,Cathedral Square,300,Conti Street,,,36602,Mobile,Mobile County,Alabama,AL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300004,9/10/2020 16:27,The Territory Farmers' Market,"2000 Territory Drive, Galena, Illinois 61036",-90.31353,42.404443,Parking lot at The Galena Territory Association Owners' Club facility.,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,85.39601639,"609 Territory Drive, Guilford Township, IL 61036, United States of America",42.405181529703945,-90.31381528,,609,Territory Drive,,,61036,Guilford Township,Jo Daviess County,Illinois,IL,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300005,1/26/2021 12:51,City of Plymouth Farmers Market,"15500 County Road 6, Plymouth, Minnesota 55447",-93.473419,44.997274,,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,45.15371943,"15500 County Road 6, Plymouth, MN 55447, United States of America",44.997116,-93.473948,,15500,County Road 6,Plymouth,,55447,Plymouth,Hennepin County,Minnesota,MN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
300006,9/10/2020 19:12,Durham Farmers' Market,"501 Foster Street, Durham, North Carolina 27701",-78.901856,36.000559,In and around the Pavilion at Durham Central Park.,,City Park (Durham Central Park).,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,6.137945635258363,"Durham Farmer's Market, Hunt Street, Durham, NC 27701, United States of America",36.000504,-78.9018502,Durham Farmer's Market,,Hunt Street,Five Points,,27701,Durham,Durham County,North Carolina,NC,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300008,1/5/2021 10:18,"Webster's Joe Obbie Farmers' Market, Inc.","1028 Ridge Road, Webster Towne Center, Webster, New York 14580",-77.452948,43.212229,"In the Plaza parking lot, near the Gazebo",,shopping plaza parking lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC;Senior Farmers Market Nutrition Program;SNAP;Accept EBT at a central location;;,1,1,0,0,1,0,Accept EBT at a central location;,1,0,112.63443456324485,"Justice, 1042 Ridge Road, Webster, NY 14580, United States of America",43.2112392,-77.4526526,Justice,1042,Ridge Road,Webster,,14580,Town of Webster,Monroe County,New York,NY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300009,1/25/2021 12:18,Appleton Downtown Farm Market,"100 College Avenue, Appleton, Wisconsin 54911",-88.40703,44.26201,"Downtown Appleton on College Avenue, between Appleton and Drew Streets; plus Houdini Plaza.",Closed-off public street;,,Part of the time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC Farmers Market;WIC;SNAP;Accept EBT at a central location;;,1,1,0,1,0,0,Accept EBT at a central location;,1,0,0,"Building for Kids, 100 West College Avenue, Appleton, WI 54911, United States of America",44.262057299999995,-88.40704047,Building for Kids,100,West College Avenue,,1,54911,Appleton,Outagamie County,Wisconsin,WI,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300010,1/27/2021 19:55,Bastrop 1832 Farmers Market,"1302 Chestnut Street, Bastrop, Texas 78602",-97.311627,30.111777,"Indoor Market in big metal barn, next to Bastrop Convention Center, across from Bastrop City Hall. At corner of Chestnut St. and Fayette St. by the railroad tracks.",Local government building grounds;,,Entire time the market is open indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,SNAP;Some/all market vendors will accept EBT through individual POS;;,0,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,37.75174012,"Bastrop 1832 Farmer's Market, 1302 Chestnut Street, Bastrop, TX 78602, United States of America",30.110954800000002,-97.31223346,Bastrop 1832 Farmer's Market,1302,Chestnut Street,,,78602,Bastrop,Bastrop County,Texas,TX,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300013,2/1/2021 11:04,Alexandria Bay Farmers Market,"Route 12, Alexandria Bay, New York 13607",-75.916118,44.331171,Kinney Drugs parking lot,Private business parking lot;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,0,0,0,Some/all market vendors will accept EBT through individual POS;,0,1,6.630661985291296,"Kinney Drugs, 21 Otter Street, Alexandria, NY 13607, United States of America",44.331374249999996,-75.91596454,Kinney Drugs,21,Otter Street,Alexandria,,13607,Town of Alexandria,Jefferson County,New York,NY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300016,2/2/2021 8:14,Clarence Hollow Farmers' Market,"New Town lot, 10717 Main St. (route 5), Clarence, New York 14031",-78.58945,42.98032,"Market Lot   10717 Main StreetEast of Ransom Road   Clarence, NY",Private business parking lot;,Town owned Parking Lot,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC Farmers Market;Senior Farmers Market Nutrition Program;,0,0,0,1,1,0,,0,0,4.7965779266386415,"Clarence-Akron Pathway, Clarence, NY 14031, United States of America",42.9803412,-78.5885466,Clarence-Akron Pathway,,Clarence-Akron Pathway,,,14031,Clarence,Erie County,New York,NY,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
300018,8/3/2020 9:39,Market in The Park - Lavretta Park,"200 Parkway Street West, Mobile, Alabama 36606",-88.160082,30.691614,Lavretta Park is located in the Springhill area just off of Old Shell Road.,Local government building grounds;,,No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,Senior Farmers Market Nutrition Program;,0,0,0,0,1,0,,0,0,49.43857598099367,"4274 Horloesther Court, Mobile, AL 36608, United States of America",30.691204,-88.159882,,4274,Horloesther Court,,,36608,Mobile,Mobile County,Alabama,AL,United States,us,© OpenAddresses contributors,BSD-3-Clause License,
300019,9/10/2020 15:25,26th Annual Highlands Business Partnership's Farmers Market,"71 Waterwitch Avenue, Highlands, New Jersey 07732",-73.994358,40.404837,Huddy Park on the corner of Waterwitch and Bay Avenues,Local government building grounds;,Huddy Park (public park),No Indoor;,Organic (USDA Certified);,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Debit card/Credit card;,0,0,0,0,0,1,0,0,WIC Farmers Market;WIC;Senior Farmers Market Nutrition Program;SNAP;Some/all market vendors will accept EBT through individual POS;;,1,1,0,1,1,0,Some/all market vendors will accept EBT through individual POS;,0,1,6.065078744,"Huddy Park, Highlands, NJ 07732, United States of America",40.4048303,-73.99428691,Huddy Park,,Huddy Park,Highlands,,07732,Highlands,Monmouth County,New Jersey,NJ,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
