listing_id,update_time,listing_name,location_address,establish_year,legal_status,location_x,location_y,location_desc,season_month_start,season_month_end,season_month,season_month_1,season_month_2,season_month_3,season_month_4,season_month_5,season_month_6,season_month_7,season_month_8,season_month_9,season_month_10,season_month_11,season_month_12,products,products_1,products_2,products_3,products_5,products_6,products_8,products_9,products_10,products_11,products_12,products_13,products_14,products_15,products_16,products_17,products_18,products_19,products_21,products_22,products_23,products_25,products_26,products_27,products_28,products_29,products_30,products_888,products_otherdesc,productslocality_fruits,productslocality_vegetables,productslocality_bakedgoods,productslocality_canfood,productslocality_coffee,productslocality_flowers,productslocality_dairyproducts,productslocality_beans,productslocality_eggs,productslocality_seafood,productslocality_herbs,productslocality_grains,productslocality_greenproducts,productslocality_honey,productslocality_juices,productslocality_mapleproducts,productslocality_mushrooms,productslocality_nuts,productslocality_petfood,productslocality_meat,productslocality_redmeat,productslocality_soap,productslocality_tofu,productslocality_trees,productslocality_wildproducts,productslocality_wine,productslocality_other,service_procurement,service_procurement_1,service_procurement_2,service_procurement_888,service_procurement_other_desc,service_opservice,service_opservice_1,service_opservice_2,service_opservice_3,service_opservice_4,service_opservice_5,service_opservice_6,service_opservice_7,service_opservice_8,service_opservice_9,service_opservice_10,service_opservice_11,service_opservice_12,service_opservice_13,service_opservice_11_desc,service_opservice_12_desc,service_opservice_13_desc,service_producer,service_producer_1,service_producer_2,service_producer_3,service_producer_4,service_producer_5,service_producer_6,service_producer_7,service_producer_8,service_producer_9,service_producer_10,service_producer_11,service_producer_12,service_producer_10_desc,service_community,service_community_1,service_community_5,service_community_6,service_community_7,service_community_8,service_community_9,service_community_10,service_community_11,service_community_12,service_community_13,service_community_14,service_community_15,service_community_16,service_community_14_desc,specialproductionmethods,specialproductionmethods_1,specialproductionmethods_2,specialproductionmethods_3,specialproductionmethods_4,specialproductionmethods_5,specialproductionmethods_6,specialproductionmethods_7,specialproductionmethods_8,specialproductionmethods_9,specialproductionmethods_10,specialproductionmethods_11,specialproductionmethods_12,specialproductionmethods_13,specialproductionmethods_14,specialproductionmethods_15,specialproductionmethods_16,specialproductionmethods_888,specialproductionmethods_other_desc,specialproductionmethods_gap_certify_entity,saleschannel_wholesale,saleschannel_wholesale_1,saleschannel_wholesale_2,saleschannel_wholesale_3,saleschannel_wholesale_4,saleschannel_wholesale_5,saleschannel_wholesale_6,saleschannel_wholesale_7,saleschannel_wholesale_8,saleschannel_wholesale_9,saleschannel_wholesale_10,saleschannel_wholesale_11,saleschannel_wholesale_12,saleschannel_wholesale_13,saleschannel_wholesale_14,saleschannel_wholesale_15,saleschannel_wholesale_16,saleschannel_wholesale_17,saleschannel_wholesale_15_desc,saleschannel_wholesale_16_desc,saleschannel_wholesale_17_desc,saleschannel_retail,saleschannel_retail_1,saleschannel_retail_2,saleschannel_retail_3,saleschannel_retail_4,saleschannel_retail_5,saleschannel_retail_6,saleschannel_retail_7,saleschannel_retail_8,saleschannel_retail_9,saleschannel_retail_10,saleschannel_retail_8_desc,saleschannel_retail_9_desc,saleschannel_retail_10_desc,acceptedpayment,acceptedpayment_1,acceptedpayment_2,acceptedpayment_3,acceptedpayment_4,acceptedpayment_5,acceptedpayment_6,acceptedpayment_7,acceptedpayment_888,acceptedpayment_7_desc,acceptedpayment_other_desc,FNAP,FNAP_1,FNAP_2,FNAP_3,FNAP_888,FNAP_3_desc,FNAP_other_desc,webscripting
500000,7/25/2014 11:35,Little Rock Local Food Club,"509 Scott St, Little Rock, Arkansas 72201",2011,Non-Profit;,-92.269829,34.7432407,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Green household products;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively non-local;,Exclusively local;,Exclusively local;,,Exclusively local;,,Exclusively non-local;,,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,,,,,,Take ownership of the product;Sell on a consignment basis;,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;,1,0,0,0,0,0,0,0,0,0,0,0,,Nutrition/cooking education;Food donations to local food pantries/banks;,0,1,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,USDA certifying entity;,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Buying clubs;On-line store;,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,
500001,7/29/2014 16:18,Ojai Pixie Growers Association,"15275 Maricopa Hwy, Ojai, California 93023",1985,S Corp;,-119.29144,34.4813063,,2021-03,2021-06,March to June,0,0,1,1,1,1,0,0,0,0,0,0,Fresh fruits;Ojai Pixie Tangerines;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ojai Pixie Tangerines,Exclusively local;,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusively local;,Sell on a consignment basis;,0,1,0,,Aggregation;Production;Brokering;,1,1,0,1,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;Branding/labeling products;Transportation services;,1,1,0,0,0,0,0,0,1,0,0,0,,Education programs for institutions;Food donations to local food pantries/banks;farm tours for schools;,0,0,0,0,0,0,0,1,0,1,1,0,0,farm tours for schools,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,USDA certifying entity;,"Small independent grocery stores;Corner stores, bodegas;Food retail cooperatives;Restaurants;Caterers/bakeries;Distributors;",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,
500002,8/26/2014 12:37,Farm 2 Family's Brunswick Farmers Market,"10600 Bubbling Wells Rd, Grass Valley, California 95945",2012,Producer Cooperative;,-121.02649,39.2335394,"at the Nevada County  Horsemen's Association Fairgrounds, off Brunswick Road, 1/2 mile from the junction of Hwy 20/49 at Brunswick Rd.",2021-04,2021-10,April to October,0,0,0,1,1,1,1,1,1,1,0,0,Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Eggs;Herbs;Honey;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,,Exclusively local;,Exclusively local;,Exclusively local;,,,Exclusively local;,Exclusively local;,,Exclusively local;,,Exclusively local;,,,Exclusively local;,,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,,,,,,Customer shops online producer is paid at once -minus a commision;,0,0,1,Customer shops online producer is paid at once -minus a commision,Aggregation;Distribution;Brokering;,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;Production/post-harvest handling training;Business management services/guidance;Transportation services;,1,0,0,1,1,0,0,0,1,0,0,0,,Paid employment opportunities for youth;Food donations to local food pantries/banks;,1,0,0,0,0,0,0,0,0,1,0,0,0,,"Organic (USDA Certified);Certified ""Naturally Grown"";Must Sign Farmers Pledge that includes most items above;",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Must Sign Farmers Pledge that includes most items above,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Buying clubs;On-line store;Farmers markets;Online Farmers Market;,1,1,0,0,1,0,0,1,0,0,Online Farmers Market,,,,,,,,,,,,,,WIC;SNAP;,1,1,0,0,,,
500003,9/30/2014 21:42,High Plains Food Cooperative,"7900 E Union Ave.   Ste 200, Denver, Colorado 80237",2008,Producer-Consumer Cooperative;,-104.89604,39.6277464,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,,,Exclusively local;,Exclusively local;,Exclusively local;,Both local and non-local;,,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,,,,,,Exclusively local;,Exclusively local;,Both local and non-local;,,,,,,cross docking agent;,0,0,1,cross docking agent,Aggregation;Distribution;,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;Business management services/guidance;Transportation services;,1,0,0,0,1,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,USDA certifying entity;,"Small independent grocery stores;Corner stores, bodegas;Food retail cooperatives;Restaurants;K-12 school food service;",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,Buying clubs;On-line store;CSA shares;,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,
500004,7/25/2014 10:13,LoCo Food Distribution,"229 N US HWY 287, Fort Collins, Colorado 80524",2011,LLC;,-105.0804,40.6180146,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,,,,,,Take ownership of the product;,1,0,0,,Distribution;Product storage;,0,0,1,0,0,0,1,0,0,0,0,0,0,,,,Marketing/promotional services;Branding/labeling products;Business management services/guidance;Food safety/GAP Training;,1,1,0,0,1,0,1,0,0,0,0,0,,Food donations to local food pantries/banks;,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"Large supermarkets/supercenters;Small independent grocery stores;Corner stores, bodegas;Food retail cooperatives;Restaurants;Colleges/Universities;Hospitals;Government/corporate cafeterias;",1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,
500005,9/17/2014 7:30,Iowa Food Cooperative,"4944 Franklin Avenue, Des Moines, Iowa 50310",2008,Producer-Consumer Cooperative;,-93.686808,41.610739,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Green household products;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,,,,,Sell on a consignment basis;,0,1,0,,Aggregation;Distribution;Product storage;,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,Marketing/promotional services;Transportation services;,1,0,0,0,0,0,0,0,1,0,0,0,,Food donations to local food pantries/banks;,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,USDA certifying entity;,Distributors;day care facility;fraternity;,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,day care facility,fraternity,,On-line store;,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,SNAP;,0,1,0,0,,,
500006,7/25/2014 9:52,Irv & Shelly's Fresh Picks,"5625 W. Howard Street, Niles, Illinois 60714",2006,S Corp;,-87.768252,42.0183999,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Nuts;Poultry/fowl meat and products;Red/other non-poultry meat and products;Tofu/non-animal protein;Wild harvested forest products;,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,,Exclusively non-local;,Exclusively non-local;,Exclusively local;,Exclusively non-local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively non-local;,Exclusively local;,,Exclusively local;,Exclusively non-local;,Exclusively local;,Exclusively local;,,,Exclusively local;,Exclusively local;,,Exclusively local;,,Exclusively local;,,,Take ownership of the product;,1,0,0,,Aggregation;Distribution;Product storage;,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,Marketing/promotional services;Branding/labeling products;Transportation services;,1,1,0,0,0,0,0,0,1,0,0,0,,Nutrition/cooking education;Operating a mobile market;Food donations to local food pantries/banks;,0,1,0,0,0,1,0,0,0,1,0,0,0,,"Organic (USDA Certified);Non-Certified, but Practicing Organic;No antibiotics;Integrated pest management;Grass Fed;Pasture-raised/free-range animals;",1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,,,Small independent grocery stores;Restaurants;Caterers/bakeries;,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,On-line store;Farmers markets;Mobile retail units/food trucks;,0,1,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,SNAP;,0,1,0,0,,,
500007,7/30/2014 21:17,Hoosier Harvest Market,"802 North Apple Street, Greenfield, Indiana 46140",2013,Non-Profit;,-85.75621,39.7931106,Purdue Extension Office near the county fair gounds,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Cut flowers;Dairy products;Dry beans;Eggs;Herbs;Grains/flour;Green household products;Honey;Maple products;Mushrooms;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;fermented products;,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,fermented products,Exclusively local;,Exclusively local;,Exclusively local;,,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,,Exclusively local;,,Exclusively local;,Sell on a consignment basis;,0,1,0,,Aggregation;Distribution;,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;Business management services/guidance;Food safety/GAP Training;,1,0,0,0,1,0,1,0,0,0,0,0,,Paid employment opportunities for youth;Education programs for institutions;Food donations to local food pantries/banks;,1,0,0,0,0,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,USDA certifying entity;,Restaurants;Caterers/bakeries;Distributors;Food processors;Hospitals;,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,,,,On-line store;,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,WIC;SNAP;,1,1,0,0,,,
500008,7/30/2014 13:12,Massachusetts Local Food Cooperative,"114 Coburn Avenue, Gardner, Massachusetts 01440",2009,C Corp;,-72.007044,42.5696247,,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Grains/flour;Honey;Maple products;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,Exclusively local;,,Exclusively local;,Exclusively local;,,Exclusively local;,,Exclusively local;,,,Exclusively local;,Exclusively local;,Exclusively local;,Exclusively local;,,,Exclusively local;,,,Sell on a consignment basis;,0,1,0,,Aggregation;Distribution;,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,Marketing/promotional services;,1,0,0,0,0,0,0,0,0,0,0,0,,Food donations to local food pantries/banks;,0,0,0,0,0,0,0,0,0,1,0,0,0,,"Organic (USDA Certified);Non-Certified, but Practicing Organic;Certified ""Naturally Grown"";Good Agricultural Practices (GAP)-Certified;No antibiotics;No hormones;Integrated pest management;Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;",1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,,USDA certifying entity;,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Co-op Members;,0,0,0,0,0,0,0,1,0,0,Co-op Members,,,,,,,,,,,,,,,0,0,0,0,,,
500009,8/13/2014 11:13,Berkshire Organics Market and Delivery,"813 Dalton Division Rd., Dalton, Massachusetts 01226",2008,LLC;,-73.196493,42.4300153,At the corner of Dalton Division Rd and Williams St.,2021-01,2021-12,Year-round,1,1,1,1,1,1,1,1,1,1,1,1,Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Dry beans;Eggs;Fish/seafood;Herbs;Grains/flour;Green household products;Honey;Juices/non-alcoholic ciders;Maple products;Mushrooms;Nuts;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Tofu/non-animal protein;Wild harvested forest products;Wine/spirits/beer/hard cider;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively local;,Both local and non-local;,Exclusively local;,Exclusively non-local;,Exclusively non-local;,,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,Exclusively non-local;,,Exclusively non-local;,Exclusively non-local;,,Take ownership of the product;,1,0,0,,Distribution;Packaging/Repackaging;,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,Marketing/promotional services;,1,0,0,0,0,0,0,0,0,0,0,0,,Paid employment opportunities for youth;Operating a mobile market;Community awareness programs;Food donations to local food pantries/banks;,1,0,0,0,0,1,0,0,1,1,0,0,0,,"Organic (USDA Certified);Non-Certified, but Practicing Organic;Good Agricultural Practices (GAP)-Certified;Good Handling Practices (GHP)-Certified;No antibiotics;No hormones;Integrated pest management;Grass Fed;Pasture-raised/free-range animals;Fair labor practices, living wage, fair trade, etc.;",1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,,Non-USDA certifying entity;,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,On-line store;Food hub's own retail storefront;Delivery service;,0,1,1,0,0,0,0,1,0,0,Delivery service,,,,,,,,,,,,,,WIC;SNAP;,1,1,0,0,,,
